pokedex_number,name,type1,type2,Sum,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
1,Bulbasaur,grass,poison,318,45,49,49,65,65,45,1,FALSE
2,Ivysaur,grass,poison,405,60,62,63,80,80,60,1,FALSE
3,Venusaur,grass,poison,625,80,100,123,122,120,80,1,FALSE
4,Charmander,fire,,309,39,52,43,60,50,65,1,FALSE
5,Charmeleon,fire,,405,58,64,58,80,65,80,1,FALSE
6,Charizard,fire,flying,634,78,104,78,159,115,100,1,FALSE
7,Squirtle,water,,314,44,48,65,50,64,43,1,FALSE
8,Wartortle,water,,405,59,63,80,65,80,58,1,FALSE
9,Blastoise,water,,630,79,103,120,135,115,78,1,FALSE
10,Caterpie,bug,,195,45,30,35,20,20,45,1,FALSE
11,Metapod,bug,,205,50,20,55,25,25,30,1,FALSE
12,Butterfree,bug,flying,395,60,45,50,90,80,70,1,FALSE
13,Weedle,bug,poison,195,40,35,30,20,20,50,1,FALSE
14,Kakuna,bug,poison,205,45,25,50,25,25,35,1,FALSE
15,Beedrill,bug,poison,495,65,150,40,15,80,145,1,FALSE
16,Pidgey,normal,flying,251,40,45,40,35,35,56,1,FALSE
17,Pidgeotto,normal,flying,349,63,60,55,50,50,71,1,FALSE
18,Pidgeot,normal,flying,579,83,80,80,135,80,121,1,FALSE
19,Rattata,normal,dark,253,30,56,35,25,35,72,1,FALSE
20,Raticate,normal,dark,413,75,71,70,40,80,77,1,FALSE
21,Spearow,normal,flying,262,40,60,30,31,31,70,1,FALSE
22,Fearow,normal,flying,442,65,90,65,61,61,100,1,FALSE
23,Ekans,poison,,288,35,60,44,40,54,55,1,FALSE
24,Arbok,poison,,448,60,95,69,65,79,80,1,FALSE
25,Pikachu,electric,,320,35,55,40,50,50,90,1,FALSE
26,Raichu,electric,electric,485,60,85,50,95,85,110,1,FALSE
27,Sandshrew,ground,ice,300,50,75,90,10,35,40,1,FALSE
28,Sandslash,ground,ice,450,75,100,120,25,65,65,1,FALSE
29,Nidoran♀,poison,,275,55,47,52,40,40,41,1,FALSE
30,Nidorina,poison,,365,70,62,67,55,55,56,1,FALSE
31,Nidoqueen,poison,ground,505,90,92,87,75,85,76,1,FALSE
32,Nidoran♂,poison,,273,46,57,40,40,40,50,1,FALSE
33,Nidorino,poison,,365,61,72,57,55,55,65,1,FALSE
34,Nidoking,poison,ground,505,81,102,77,85,75,85,1,FALSE
35,Clefairy,fairy,,323,70,45,48,60,65,35,1,FALSE
36,Clefable,fairy,,483,95,70,73,95,90,60,1,FALSE
37,Vulpix,fire,ice,299,38,41,40,50,65,65,1,FALSE
38,Ninetales,fire,ice,505,73,67,75,81,100,109,1,FALSE
39,Jigglypuff,normal,fairy,270,115,45,20,45,25,20,1,FALSE
40,Wigglytuff,normal,fairy,435,140,70,45,85,50,45,1,FALSE
41,Zubat,poison,flying,245,40,45,35,30,40,55,1,FALSE
42,Golbat,poison,flying,455,75,80,70,65,75,90,1,FALSE
43,Oddish,grass,poison,320,45,50,55,75,65,30,1,FALSE
44,Gloom,grass,poison,395,60,65,70,85,75,40,1,FALSE
45,Vileplume,grass,poison,490,75,80,85,110,90,50,1,FALSE
46,Paras,bug,grass,285,35,70,55,45,55,25,1,FALSE
47,Parasect,bug,grass,405,60,95,80,60,80,30,1,FALSE
48,Venonat,bug,poison,305,60,55,50,40,55,45,1,FALSE
49,Venomoth,bug,poison,450,70,65,60,90,75,90,1,FALSE
50,Diglett,ground,ground,265,10,55,30,35,45,90,1,FALSE
51,Dugtrio,ground,ground,425,35,100,60,50,70,110,1,FALSE
52,Meowth,normal,dark,290,40,35,35,50,40,90,1,FALSE
53,Persian,normal,dark,440,65,60,60,75,65,115,1,FALSE
54,Psyduck,water,,320,50,52,48,65,50,55,1,FALSE
55,Golduck,water,,500,80,82,78,95,80,85,1,FALSE
56,Mankey,fighting,,305,40,80,35,35,45,70,1,FALSE
57,Primeape,fighting,,455,65,105,60,60,70,95,1,FALSE
58,Growlithe,fire,,350,55,70,45,70,50,60,1,FALSE
59,Arcanine,fire,,555,90,110,80,100,80,95,1,FALSE
60,Poliwag,water,,300,40,50,40,40,40,90,1,FALSE
61,Poliwhirl,water,,385,65,65,65,50,50,90,1,FALSE
62,Poliwrath,water,fighting,510,90,95,95,70,90,70,1,FALSE
63,Abra,psychic,,310,25,20,15,105,55,90,1,FALSE
64,Kadabra,psychic,,400,40,35,30,120,70,105,1,FALSE
65,Alakazam,psychic,,600,55,50,65,175,105,150,1,FALSE
66,Machop,fighting,,305,70,80,50,35,35,35,1,FALSE
67,Machoke,fighting,,405,80,100,70,50,60,45,1,FALSE
68,Machamp,fighting,,505,90,130,80,65,85,55,1,FALSE
69,Bellsprout,grass,poison,300,50,75,35,70,30,40,1,FALSE
70,Weepinbell,grass,poison,390,65,90,50,85,45,55,1,FALSE
71,Victreebel,grass,poison,490,80,105,65,100,70,70,1,FALSE
72,Tentacool,water,poison,335,40,40,35,50,100,70,1,FALSE
73,Tentacruel,water,poison,515,80,70,65,80,120,100,1,FALSE
74,Geodude,rock,ground,300,40,80,100,30,30,20,1,FALSE
75,Graveler,rock,ground,390,55,95,115,45,45,35,1,FALSE
76,Golem,rock,ground,495,80,120,130,55,65,45,1,FALSE
77,Ponyta,fire,,410,50,85,55,65,65,90,1,FALSE
78,Rapidash,fire,,500,65,100,70,80,80,105,1,FALSE
79,Slowpoke,water,psychic,315,90,65,65,40,40,15,1,FALSE
80,Slowbro,water,psychic,590,95,75,180,130,80,30,1,FALSE
81,Magnemite,electric,steel,325,25,35,70,95,55,45,1,FALSE
82,Magneton,electric,steel,465,50,60,95,120,70,70,1,FALSE
83,Farfetch'd,normal,flying,377,52,90,55,58,62,60,1,FALSE
84,Doduo,normal,flying,310,35,85,45,35,35,75,1,FALSE
85,Dodrio,normal,flying,470,60,110,70,60,60,110,1,FALSE
86,Seel,water,,325,65,45,55,45,70,45,1,FALSE
87,Dewgong,water,ice,475,90,70,80,70,95,70,1,FALSE
88,Grimer,poison,poison,325,80,80,50,40,50,25,1,FALSE
89,Muk,poison,poison,500,105,105,75,65,100,50,1,FALSE
90,Shellder,water,,305,30,65,100,45,25,40,1,FALSE
91,Cloyster,water,ice,525,50,95,180,85,45,70,1,FALSE
92,Gastly,ghost,poison,310,30,35,30,100,35,80,1,FALSE
93,Haunter,ghost,poison,405,45,50,45,115,55,95,1,FALSE
94,Gengar,ghost,poison,600,60,65,80,170,95,130,1,FALSE
95,Onix,rock,ground,385,35,45,160,30,45,70,1,FALSE
96,Drowzee,psychic,,328,60,48,45,43,90,42,1,FALSE
97,Hypno,psychic,,483,85,73,70,73,115,67,1,FALSE
98,Krabby,water,,325,30,105,90,25,25,50,1,FALSE
99,Kingler,water,,475,55,130,115,50,50,75,1,FALSE
100,Voltorb,electric,,330,40,30,50,55,55,100,1,FALSE
101,Electrode,electric,,490,60,50,70,80,80,150,1,FALSE
102,Exeggcute,grass,psychic,325,60,40,80,60,45,40,1,FALSE
103,Exeggutor,grass,psychic,530,95,105,85,125,75,45,1,FALSE
104,Cubone,ground,,320,50,50,95,40,50,35,1,FALSE
105,Marowak,ground,fire,425,60,80,110,50,80,45,1,FALSE
106,Hitmonlee,fighting,,455,50,120,53,35,110,87,1,FALSE
107,Hitmonchan,fighting,,455,50,105,79,35,110,76,1,FALSE
108,Lickitung,normal,,385,90,55,75,60,75,30,1,FALSE
109,Koffing,poison,,340,40,65,95,60,45,35,1,FALSE
110,Weezing,poison,,490,65,90,120,85,70,60,1,FALSE
111,Rhyhorn,ground,rock,345,80,85,95,30,30,25,1,FALSE
112,Rhydon,ground,rock,485,105,130,120,45,45,40,1,FALSE
113,Chansey,normal,,450,250,5,5,35,105,50,1,FALSE
114,Tangela,grass,,435,65,55,115,100,40,60,1,FALSE
115,Kangaskhan,normal,,590,105,125,100,60,100,100,1,FALSE
116,Horsea,water,,295,30,40,70,70,25,60,1,FALSE
117,Seadra,water,,440,55,65,95,95,45,85,1,FALSE
118,Goldeen,water,,320,45,67,60,35,50,63,1,FALSE
119,Seaking,water,,450,80,92,65,65,80,68,1,FALSE
120,Staryu,water,,340,30,45,55,70,55,85,1,FALSE
121,Starmie,water,psychic,520,60,75,85,100,85,115,1,FALSE
122,Mr. Mime,psychic,fairy,460,40,45,65,100,120,90,1,FALSE
123,Scyther,bug,flying,500,70,110,80,55,80,105,1,FALSE
124,Jynx,ice,psychic,455,65,50,35,115,95,95,1,FALSE
125,Electabuzz,electric,,490,65,83,57,95,85,105,1,FALSE
126,Magmar,fire,,495,65,95,57,100,85,93,1,FALSE
127,Pinsir,bug,,600,65,155,120,65,90,105,1,FALSE
128,Tauros,normal,,490,75,100,95,40,70,110,1,FALSE
129,Magikarp,water,,200,20,10,55,15,20,80,1,FALSE
130,Gyarados,water,flying,640,95,155,109,70,130,81,1,FALSE
131,Lapras,water,ice,535,130,85,80,85,95,60,1,FALSE
132,Ditto,normal,,288,48,48,48,48,48,48,1,FALSE
133,Eevee,normal,,325,55,55,50,45,65,55,1,FALSE
134,Vaporeon,water,,525,130,65,60,110,95,65,1,FALSE
135,Jolteon,electric,,525,65,65,60,110,95,130,1,FALSE
136,Flareon,fire,,525,65,130,60,95,110,65,1,FALSE
137,Porygon,normal,,395,65,60,70,85,75,40,1,FALSE
138,Omanyte,rock,water,355,35,40,100,90,55,35,1,FALSE
139,Omastar,rock,water,495,70,60,125,115,70,55,1,FALSE
140,Kabuto,rock,water,355,30,80,90,55,45,55,1,FALSE
141,Kabutops,rock,water,495,60,115,105,65,70,80,1,FALSE
142,Aerodactyl,rock,flying,615,80,135,85,70,95,150,1,FALSE
143,Snorlax,normal,,540,160,110,65,65,110,30,1,FALSE
144,Articuno,ice,flying,580,90,85,100,95,125,85,1,TRUE
145,Zapdos,electric,flying,580,90,90,85,125,90,100,1,TRUE
146,Moltres,fire,flying,580,90,100,90,125,85,90,1,TRUE
147,Dratini,dragon,,300,41,64,45,50,50,50,1,FALSE
148,Dragonair,dragon,,420,61,84,65,70,70,70,1,FALSE
149,Dragonite,dragon,flying,600,91,134,95,100,100,80,1,FALSE
150,Mewtwo,psychic,,780,106,150,70,194,120,140,1,TRUE
151,Mew,psychic,,600,100,100,100,100,100,100,1,TRUE
152,Chikorita,grass,,318,45,49,65,49,65,45,2,FALSE
153,Bayleef,grass,,405,60,62,80,63,80,60,2,FALSE
154,Meganium,grass,,525,80,82,100,83,100,80,2,FALSE
155,Cyndaquil,fire,,309,39,52,43,60,50,65,2,FALSE
156,Quilava,fire,,405,58,64,58,80,65,80,2,FALSE
157,Typhlosion,fire,,534,78,84,78,109,85,100,2,FALSE
158,Totodile,water,,314,50,65,64,44,48,43,2,FALSE
159,Croconaw,water,,405,65,80,80,59,63,58,2,FALSE
160,Feraligatr,water,,530,85,105,100,79,83,78,2,FALSE
161,Sentret,normal,,215,35,46,34,35,45,20,2,FALSE
162,Furret,normal,,415,85,76,64,45,55,90,2,FALSE
163,Hoothoot,normal,flying,262,60,30,30,36,56,50,2,FALSE
164,Noctowl,normal,flying,452,100,50,50,86,96,70,2,FALSE
165,Ledyba,bug,flying,265,40,20,30,40,80,55,2,FALSE
166,Ledian,bug,flying,390,55,35,50,55,110,85,2,FALSE
167,Spinarak,bug,poison,250,40,60,40,40,40,30,2,FALSE
168,Ariados,bug,poison,400,70,90,70,60,70,40,2,FALSE
169,Crobat,poison,flying,535,85,90,80,70,80,130,2,FALSE
170,Chinchou,water,electric,330,75,38,38,56,56,67,2,FALSE
171,Lanturn,water,electric,460,125,58,58,76,76,67,2,FALSE
172,Pichu,electric,,205,20,40,15,35,35,60,2,FALSE
173,Cleffa,fairy,,218,50,25,28,45,55,15,2,FALSE
174,Igglybuff,normal,fairy,210,90,30,15,40,20,15,2,FALSE
175,Togepi,fairy,,245,35,20,65,40,65,20,2,FALSE
176,Togetic,fairy,flying,405,55,40,85,80,105,40,2,FALSE
177,Natu,psychic,flying,320,40,50,45,70,45,70,2,FALSE
178,Xatu,psychic,flying,470,65,75,70,95,70,95,2,FALSE
179,Mareep,electric,,280,55,40,40,65,45,35,2,FALSE
180,Flaaffy,electric,,365,70,55,55,80,60,45,2,FALSE
181,Ampharos,electric,,610,90,95,105,165,110,45,2,FALSE
182,Bellossom,grass,,490,75,80,95,90,100,50,2,FALSE
183,Marill,water,fairy,250,70,20,50,20,50,40,2,FALSE
184,Azumarill,water,fairy,420,100,50,80,60,80,50,2,FALSE
185,Sudowoodo,rock,,410,70,100,115,30,65,30,2,FALSE
186,Politoed,water,,500,90,75,75,90,100,70,2,FALSE
187,Hoppip,grass,flying,250,35,35,40,35,55,50,2,FALSE
188,Skiploom,grass,flying,340,55,45,50,45,65,80,2,FALSE
189,Jumpluff,grass,flying,460,75,55,70,55,95,110,2,FALSE
190,Aipom,normal,,360,55,70,55,40,55,85,2,FALSE
191,Sunkern,grass,,180,30,30,30,30,30,30,2,FALSE
192,Sunflora,grass,,425,75,75,55,105,85,30,2,FALSE
193,Yanma,bug,flying,390,65,65,45,75,45,95,2,FALSE
194,Wooper,water,ground,210,55,45,45,25,25,15,2,FALSE
195,Quagsire,water,ground,430,95,85,85,65,65,35,2,FALSE
196,Espeon,psychic,,525,65,65,60,130,95,110,2,FALSE
197,Umbreon,dark,,525,95,65,110,60,130,65,2,FALSE
198,Murkrow,dark,flying,405,60,85,42,85,42,91,2,FALSE
199,Slowking,water,psychic,490,95,75,80,100,110,30,2,FALSE
200,Misdreavus,ghost,,435,60,60,60,85,85,85,2,FALSE
201,Unown,psychic,,336,48,72,48,72,48,48,2,FALSE
202,Wobbuffet,psychic,,405,190,33,58,33,58,33,2,FALSE
203,Girafarig,normal,psychic,455,70,80,65,90,65,85,2,FALSE
204,Pineco,bug,,290,50,65,90,35,35,15,2,FALSE
205,Forretress,bug,steel,465,75,90,140,60,60,40,2,FALSE
206,Dunsparce,normal,,415,100,70,70,65,65,45,2,FALSE
207,Gligar,ground,flying,430,65,75,105,35,65,85,2,FALSE
208,Steelix,steel,ground,610,75,125,230,55,95,30,2,FALSE
209,Snubbull,fairy,,300,60,80,50,40,40,30,2,FALSE
210,Granbull,fairy,,450,90,120,75,60,60,45,2,FALSE
211,Qwilfish,water,poison,440,65,95,85,55,55,85,2,FALSE
212,Scizor,bug,steel,600,70,150,140,65,100,75,2,FALSE
213,Shuckle,bug,rock,505,20,10,230,10,230,5,2,FALSE
214,Heracross,bug,fighting,600,80,185,115,40,105,75,2,FALSE
215,Sneasel,dark,ice,430,55,95,55,35,75,115,2,FALSE
216,Teddiursa,normal,,330,60,80,50,50,50,40,2,FALSE
217,Ursaring,normal,,500,90,130,75,75,75,55,2,FALSE
218,Slugma,fire,,250,40,40,40,70,40,20,2,FALSE
219,Magcargo,fire,rock,430,60,50,120,90,80,30,2,FALSE
220,Swinub,ice,ground,250,50,50,40,30,30,50,2,FALSE
221,Piloswine,ice,ground,450,100,100,80,60,60,50,2,FALSE
222,Corsola,water,rock,410,65,55,95,65,95,35,2,FALSE
223,Remoraid,water,,300,35,65,35,65,35,65,2,FALSE
224,Octillery,water,,480,75,105,75,105,75,45,2,FALSE
225,Delibird,ice,flying,330,45,55,45,65,45,75,2,FALSE
226,Mantine,water,flying,485,85,40,70,80,140,70,2,FALSE
227,Skarmory,steel,flying,465,65,80,140,40,70,70,2,FALSE
228,Houndour,dark,fire,330,45,60,30,80,50,65,2,FALSE
229,Houndoom,dark,fire,600,75,90,90,140,90,115,2,FALSE
230,Kingdra,water,dragon,540,75,95,95,95,95,85,2,FALSE
231,Phanpy,ground,,330,90,60,60,40,40,40,2,FALSE
232,Donphan,ground,,500,90,120,120,60,60,50,2,FALSE
233,Porygon2,normal,,515,85,80,90,105,95,60,2,FALSE
234,Stantler,normal,,465,73,95,62,85,65,85,2,FALSE
235,Smeargle,normal,,250,55,20,35,20,45,75,2,FALSE
236,Tyrogue,fighting,,210,35,35,35,35,35,35,2,FALSE
237,Hitmontop,fighting,,455,50,95,95,35,110,70,2,FALSE
238,Smoochum,ice,psychic,305,45,30,15,85,65,65,2,FALSE
239,Elekid,electric,,360,45,63,37,65,55,95,2,FALSE
240,Magby,fire,,365,45,75,37,70,55,83,2,FALSE
241,Miltank,normal,,490,95,80,105,40,70,100,2,FALSE
242,Blissey,normal,,540,255,10,10,75,135,55,2,FALSE
243,Raikou,electric,,580,90,85,75,115,100,115,2,TRUE
244,Entei,fire,,580,115,115,85,90,75,100,2,TRUE
245,Suicune,water,,580,100,75,115,90,115,85,2,TRUE
246,Larvitar,rock,ground,300,50,64,50,45,50,41,2,FALSE
247,Pupitar,rock,ground,410,70,84,70,65,70,51,2,FALSE
248,Tyranitar,rock,dark,700,100,164,150,95,120,71,2,FALSE
249,Lugia,psychic,flying,680,106,90,130,90,154,110,2,TRUE
250,Ho-Oh,fire,flying,680,106,130,90,110,154,90,2,TRUE
251,Celebi,psychic,grass,600,100,100,100,100,100,100,2,TRUE
252,Treecko,grass,,310,40,45,35,65,55,70,3,FALSE
253,Grovyle,grass,,405,50,65,45,85,65,95,3,FALSE
254,Sceptile,grass,,630,70,110,75,145,85,145,3,FALSE
255,Torchic,fire,,310,45,60,40,70,50,45,3,FALSE
256,Combusken,fire,fighting,405,60,85,60,85,60,55,3,FALSE
257,Blaziken,fire,fighting,630,80,160,80,130,80,100,3,FALSE
258,Mudkip,water,,310,50,70,50,50,50,40,3,FALSE
259,Marshtomp,water,ground,405,70,85,70,60,70,50,3,FALSE
260,Swampert,water,ground,635,100,150,110,95,110,70,3,FALSE
261,Poochyena,dark,,220,35,55,35,30,30,35,3,FALSE
262,Mightyena,dark,,420,70,90,70,60,60,70,3,FALSE
263,Zigzagoon,normal,,240,38,30,41,30,41,60,3,FALSE
264,Linoone,normal,,420,78,70,61,50,61,100,3,FALSE
265,Wurmple,bug,,195,45,45,35,20,30,20,3,FALSE
266,Silcoon,bug,,205,50,35,55,25,25,15,3,FALSE
267,Beautifly,bug,flying,395,60,70,50,100,50,65,3,FALSE
268,Cascoon,bug,,205,50,35,55,25,25,15,3,FALSE
269,Dustox,bug,poison,385,60,50,70,50,90,65,3,FALSE
270,Lotad,water,grass,220,40,30,30,40,50,30,3,FALSE
271,Lombre,water,grass,340,60,50,50,60,70,50,3,FALSE
272,Ludicolo,water,grass,480,80,70,70,90,100,70,3,FALSE
273,Seedot,grass,,220,40,40,50,30,30,30,3,FALSE
274,Nuzleaf,grass,dark,340,70,70,40,60,40,60,3,FALSE
275,Shiftry,grass,dark,480,90,100,60,90,60,80,3,FALSE
276,Taillow,normal,flying,270,40,55,30,30,30,85,3,FALSE
277,Swellow,normal,flying,455,60,85,60,75,50,125,3,FALSE
278,Wingull,water,flying,270,40,30,30,55,30,85,3,FALSE
279,Pelipper,water,flying,440,60,50,100,95,70,65,3,FALSE
280,Ralts,psychic,fairy,198,28,25,25,45,35,40,3,FALSE
281,Kirlia,psychic,fairy,278,38,35,35,65,55,50,3,FALSE
282,Gardevoir,psychic,fairy,618,68,85,65,165,135,100,3,FALSE
283,Surskit,bug,water,269,40,30,32,50,52,65,3,FALSE
284,Masquerain,bug,flying,454,70,60,62,100,82,80,3,FALSE
285,Shroomish,grass,,295,60,40,60,40,60,35,3,FALSE
286,Breloom,grass,fighting,460,60,130,80,60,60,70,3,FALSE
287,Slakoth,normal,,280,60,60,60,35,35,30,3,FALSE
288,Vigoroth,normal,,440,80,80,80,55,55,90,3,FALSE
289,Slaking,normal,,670,150,160,100,95,65,100,3,FALSE
290,Nincada,bug,ground,266,31,45,90,30,30,40,3,FALSE
291,Ninjask,bug,flying,456,61,90,45,50,50,160,3,FALSE
292,Shedinja,bug,ghost,236,1,90,45,30,30,40,3,FALSE
293,Whismur,normal,,240,64,51,23,51,23,28,3,FALSE
294,Loudred,normal,,360,84,71,43,71,43,48,3,FALSE
295,Exploud,normal,,490,104,91,63,91,73,68,3,FALSE
296,Makuhita,fighting,,237,72,60,30,20,30,25,3,FALSE
297,Hariyama,fighting,,474,144,120,60,40,60,50,3,FALSE
