pokedex_number,name,type1,type2,Sum,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
596,Galvantula,bug,electric,472,70,77,60,97,60,108,5,FALSE
597,Ferroseed,grass,steel,305,44,50,91,24,86,10,5,FALSE
598,Ferrothorn,grass,steel,489,74,94,131,54,116,20,5,FALSE
599,Klink,steel,,300,40,55,70,45,60,30,5,FALSE
600,Klang,steel,,440,60,80,95,70,85,50,5,FALSE
601,Klinklang,steel,,520,60,100,115,70,85,90,5,FALSE
602,Tynamo,electric,,275,35,55,40,45,40,60,5,FALSE
603,Eelektrik,electric,,405,65,85,70,75,70,40,5,FALSE
604,Eelektross,electric,,515,85,115,80,105,80,50,5,FALSE
605,Elgyem,psychic,,335,55,55,55,85,55,30,5,FALSE
606,Beheeyem,psychic,,485,75,75,75,125,95,40,5,FALSE
607,Litwick,ghost,fire,275,50,30,55,65,55,20,5,FALSE
608,Lampent,ghost,fire,370,60,40,60,95,60,55,5,FALSE
609,Chandelure,ghost,fire,520,60,55,90,145,90,80,5,FALSE
610,Axew,dragon,,320,46,87,60,30,40,57,5,FALSE
611,Fraxure,dragon,,410,66,117,70,40,50,67,5,FALSE
612,Haxorus,dragon,,540,76,147,90,60,70,97,5,FALSE
613,Cubchoo,ice,,305,55,70,40,60,40,40,5,FALSE
614,Beartic,ice,,505,95,130,80,70,80,50,5,FALSE
615,Cryogonal,ice,,515,80,50,50,95,135,105,5,FALSE
616,Shelmet,bug,,305,50,40,85,40,65,25,5,FALSE
617,Accelgor,bug,,495,80,70,40,100,60,145,5,FALSE
618,Stunfisk,ground,electric,471,109,66,84,81,99,32,5,FALSE
619,Mienfoo,fighting,,350,45,85,50,55,50,65,5,FALSE
620,Mienshao,fighting,,510,65,125,60,95,60,105,5,FALSE
621,Druddigon,dragon,,485,77,120,90,60,90,48,5,FALSE
622,Golett,ground,ghost,303,59,74,50,35,50,35,5,FALSE
623,Golurk,ground,ghost,483,89,124,80,55,80,55,5,FALSE
624,Pawniard,dark,steel,340,45,85,70,40,40,60,5,FALSE
625,Bisharp,dark,steel,490,65,125,100,60,70,70,5,FALSE
626,Bouffalant,normal,,490,95,110,95,40,95,55,5,FALSE
627,Rufflet,normal,flying,350,70,83,50,37,50,60,5,FALSE
628,Braviary,normal,flying,510,100,123,75,57,75,80,5,FALSE
629,Vullaby,dark,flying,370,70,55,75,45,65,60,5,FALSE
630,Mandibuzz,dark,flying,510,110,65,105,55,95,80,5,FALSE
631,Heatmor,fire,,484,85,97,66,105,66,65,5,FALSE
632,Durant,bug,steel,484,58,109,112,48,48,109,5,FALSE
633,Deino,dark,dragon,300,52,65,50,45,50,38,5,FALSE
634,Zweilous,dark,dragon,420,72,85,70,65,70,58,5,FALSE
635,Hydreigon,dark,dragon,600,92,105,90,125,90,98,5,FALSE
636,Larvesta,bug,fire,360,55,85,55,50,55,60,5,FALSE
637,Volcarona,bug,fire,550,85,60,65,135,105,100,5,FALSE
638,Cobalion,steel,fighting,580,91,90,129,90,72,108,5,TRUE
639,Terrakion,rock,fighting,580,91,129,90,72,90,108,5,TRUE
640,Virizion,grass,fighting,580,91,90,72,90,129,108,5,TRUE
641,Tornadus,flying,,580,79,100,80,110,90,121,5,TRUE
642,Thundurus,electric,flying,580,79,105,70,145,80,101,5,TRUE
643,Reshiram,dragon,fire,680,100,120,100,150,120,90,5,TRUE
644,Zekrom,dragon,electric,680,100,150,120,120,100,90,5,TRUE
645,Landorus,ground,flying,600,89,145,90,105,80,91,5,TRUE
646,Kyurem,dragon,ice,700,125,120,90,170,100,95,5,TRUE
647,Keldeo,water,fighting,580,91,72,90,129,90,108,5,TRUE
648,Meloetta,normal,psychic,600,100,128,90,77,77,128,5,TRUE
649,Genesect,bug,steel,600,71,120,95,120,95,99,5,TRUE
650,Chespin,grass,,313,56,61,65,48,45,38,6,FALSE
651,Quilladin,grass,,405,61,78,95,56,58,57,6,FALSE
652,Chesnaught,grass,fighting,530,88,107,122,74,75,64,6,FALSE
653,Fennekin,fire,,307,40,45,40,62,60,60,6,FALSE
654,Braixen,fire,,409,59,59,58,90,70,73,6,FALSE
655,Delphox,fire,psychic,534,75,69,72,114,100,104,6,FALSE
656,Froakie,water,,314,41,56,40,62,44,71,6,FALSE
657,Frogadier,water,,405,54,63,52,83,56,97,6,FALSE
658,Greninja,water,dark,640,72,145,67,153,71,132,6,FALSE
659,Bunnelby,normal,,237,38,36,38,32,36,57,6,FALSE
660,Diggersby,normal,ground,423,85,56,77,50,77,78,6,FALSE
661,Fletchling,normal,flying,278,45,50,43,40,38,62,6,FALSE
662,Fletchinder,fire,flying,382,62,73,55,56,52,84,6,FALSE
663,Talonflame,fire,flying,499,78,81,71,74,69,126,6,FALSE
664,Scatterbug,bug,,200,38,35,40,27,25,35,6,FALSE
665,Spewpa,bug,,213,45,22,60,27,30,29,6,FALSE
666,Vivillon,bug,flying,411,80,52,50,90,50,89,6,FALSE
667,Litleo,fire,normal,369,62,50,58,73,54,72,6,FALSE
668,Pyroar,fire,normal,507,86,68,72,109,66,106,6,FALSE
669,Flabébé,fairy,,303,44,38,39,61,79,42,6,FALSE
670,Floette,fairy,,551,74,65,67,125,128,92,6,FALSE
671,Florges,fairy,,552,78,65,68,112,154,75,6,FALSE
672,Skiddo,grass,,350,66,65,48,62,57,52,6,FALSE
673,Gogoat,grass,,531,123,100,62,97,81,68,6,FALSE
674,Pancham,fighting,,348,67,82,62,46,48,43,6,FALSE
675,Pangoro,fighting,dark,495,95,124,78,69,71,58,6,FALSE
676,Furfrou,normal,,472,75,80,60,65,90,102,6,FALSE
677,Espurr,psychic,,355,62,48,54,63,60,68,6,FALSE
678,Meowstic,psychic,,466,74,48,76,83,81,104,6,FALSE
679,Honedge,steel,ghost,325,45,80,100,35,37,28,6,FALSE
680,Doublade,steel,ghost,448,59,110,150,45,49,35,6,FALSE
681,Aegislash,steel,ghost,520,60,150,50,150,50,60,6,FALSE
682,Spritzee,fairy,,341,78,52,60,63,65,23,6,FALSE
683,Aromatisse,fairy,,462,101,72,72,99,89,29,6,FALSE
684,Swirlix,fairy,,341,62,48,66,59,57,49,6,FALSE
685,Slurpuff,fairy,,480,82,80,86,85,75,72,6,FALSE
686,Inkay,dark,psychic,288,53,54,53,37,46,45,6,FALSE
687,Malamar,dark,psychic,482,86,92,88,68,75,73,6,FALSE
688,Binacle,rock,water,306,42,52,67,39,56,50,6,FALSE
689,Barbaracle,rock,water,500,72,105,115,54,86,68,6,FALSE
690,Skrelp,poison,water,320,50,60,60,60,60,30,6,FALSE
691,Dragalge,poison,dragon,494,65,75,90,97,123,44,6,FALSE
692,Clauncher,water,,330,50,53,62,58,63,44,6,FALSE
693,Clawitzer,water,,500,71,73,88,120,89,59,6,FALSE
694,Helioptile,electric,normal,289,44,38,33,61,43,70,6,FALSE
695,Heliolisk,electric,normal,481,62,55,52,109,94,109,6,FALSE
696,Tyrunt,rock,dragon,362,58,89,77,45,45,48,6,FALSE
697,Tyrantrum,rock,dragon,521,82,121,119,69,59,71,6,FALSE
698,Amaura,rock,ice,362,77,59,50,67,63,46,6,FALSE
699,Aurorus,rock,ice,521,123,77,72,99,92,58,6,FALSE
700,Sylveon,fairy,,525,95,65,65,110,130,60,6,FALSE
701,Hawlucha,fighting,flying,500,78,92,75,74,63,118,6,FALSE
702,Dedenne,electric,fairy,431,67,58,57,81,67,101,6,FALSE
703,Carbink,rock,fairy,500,50,50,150,50,150,50,6,FALSE
704,Goomy,dragon,,300,45,50,35,55,75,40,6,FALSE
705,Sliggoo,dragon,,452,68,75,53,83,113,60,6,FALSE
706,Goodra,dragon,,600,90,100,70,110,150,80,6,FALSE
707,Klefki,steel,fairy,470,57,80,91,80,87,75,6,FALSE
708,Phantump,ghost,grass,309,43,70,48,50,60,38,6,FALSE
709,Trevenant,ghost,grass,474,85,110,76,65,82,56,6,FALSE
710,Pumpkaboo,ghost,grass,335,59,66,70,44,55,41,6,FALSE
711,Gourgeist,ghost,grass,494,85,100,122,58,75,54,6,FALSE
712,Bergmite,ice,,304,55,69,85,32,35,28,6,FALSE
713,Avalugg,ice,,514,95,117,184,44,46,28,6,FALSE
714,Noibat,flying,dragon,245,40,30,35,45,40,55,6,FALSE
715,Noivern,flying,dragon,535,85,70,80,97,80,123,6,FALSE
716,Xerneas,fairy,,680,126,131,95,131,98,99,6,TRUE
717,Yveltal,dark,flying,680,126,131,95,131,98,99,6,TRUE
718,Zygarde,dragon,ground,708,216,100,121,91,95,85,6,TRUE
719,Diancie,rock,fairy,700,50,160,110,160,110,110,6,TRUE
720,Hoopa,psychic,ghost,680,80,160,60,170,130,80,6,TRUE
721,Volcanion,fire,water,600,80,110,120,130,90,70,6,TRUE
722,Rowlet,grass,flying,320,68,55,55,50,50,42,7,FALSE
723,Dartrix,grass,flying,420,78,75,75,70,70,52,7,FALSE
724,Decidueye,grass,ghost,530,78,107,75,100,100,70,7,FALSE
725,Litten,fire,,320,45,65,40,60,40,70,7,FALSE
726,Torracat,fire,,420,65,85,50,80,50,90,7,FALSE
727,Incineroar,fire,dark,530,95,115,90,80,90,60,7,FALSE
728,Popplio,water,,320,50,54,54,66,56,40,7,FALSE
729,Brionne,water,,420,60,69,69,91,81,50,7,FALSE
730,Primarina,water,fairy,530,80,74,74,126,116,60,7,FALSE
731,Pikipek,normal,flying,265,35,75,30,30,30,65,7,FALSE
732,Trumbeak,normal,flying,355,55,85,50,40,50,75,7,FALSE
733,Toucannon,normal,flying,485,80,120,75,75,75,60,7,FALSE
734,Yungoos,normal,,253,48,70,30,30,30,45,7,FALSE
735,Gumshoos,normal,,418,88,110,60,55,60,45,7,FALSE
736,Grubbin,bug,,300,47,62,45,55,45,46,7,FALSE
737,Charjabug,bug,electric,400,57,82,95,55,75,36,7,FALSE
738,Vikavolt,bug,electric,500,77,70,90,145,75,43,7,FALSE
739,Crabrawler,fighting,,338,47,82,57,42,47,63,7,FALSE
740,Crabominable,fighting,ice,478,97,132,77,62,67,43,7,FALSE
741,Oricorio,fire,flying,476,75,70,70,98,70,93,7,FALSE
742,Cutiefly,bug,fairy,304,40,45,40,55,40,84,7,FALSE
743,Ribombee,bug,fairy,464,60,55,60,95,70,124,7,FALSE
744,Rockruff,rock,,280,45,65,40,30,40,60,7,FALSE
745,Lycanroc,rock,,487,85,115,75,55,75,82,7,FALSE
746,Wishiwashi,water,,620,45,140,130,140,135,30,7,FALSE
747,Mareanie,poison,water,305,50,53,62,43,52,45,7,FALSE
748,Toxapex,poison,water,495,50,63,152,53,142,35,7,FALSE
749,Mudbray,ground,,385,70,100,70,45,55,45,7,FALSE
750,Mudsdale,ground,,500,100,125,100,55,85,35,7,FALSE
751,Dewpider,water,bug,269,38,40,52,40,72,27,7,FALSE
752,Araquanid,water,bug,454,68,70,92,50,132,42,7,FALSE
753,Fomantis,grass,,250,40,55,35,50,35,35,7,FALSE
754,Lurantis,grass,,480,70,105,90,80,90,45,7,FALSE
755,Morelull,grass,fairy,285,40,35,55,65,75,15,7,FALSE
756,Shiinotic,grass,fairy,405,60,45,80,90,100,30,7,FALSE
757,Salandit,poison,fire,320,48,44,40,71,40,77,7,FALSE
758,Salazzle,poison,fire,480,68,64,60,111,60,117,7,FALSE
759,Stufful,normal,fighting,340,70,75,50,45,50,50,7,FALSE
760,Bewear,normal,fighting,500,120,125,80,55,60,60,7,FALSE
761,Bounsweet,grass,,210,42,30,38,30,38,32,7,FALSE
762,Steenee,grass,,290,52,40,48,40,48,62,7,FALSE
763,Tsareena,grass,,510,72,120,98,50,98,72,7,FALSE
764,Comfey,fairy,,485,51,52,90,82,110,100,7,FALSE
765,Oranguru,normal,psychic,490,90,60,80,90,110,60,7,FALSE
766,Passimian,fighting,,490,100,120,90,40,60,80,7,FALSE
767,Wimpod,bug,water,230,25,35,40,20,30,80,7,FALSE
768,Golisopod,bug,water,530,75,125,140,60,90,40,7,FALSE
769,Sandygast,ghost,ground,320,55,55,80,70,45,15,7,FALSE
770,Palossand,ghost,ground,480,85,75,110,100,75,35,7,FALSE
771,Pyukumuku,water,,410,55,60,130,30,130,5,7,FALSE
772,Type: Null,normal,,534,95,95,95,95,95,59,7,FALSE
773,Silvally,normal,,570,95,95,95,95,95,95,7,FALSE
774,Minior,rock,flying,500,60,100,60,100,60,120,7,FALSE
775,Komala,normal,,480,65,115,65,75,95,65,7,FALSE
776,Turtonator,fire,dragon,485,60,78,135,91,85,36,7,FALSE
777,Togedemaru,electric,steel,435,65,98,63,40,73,96,7,FALSE
778,Mimikyu,ghost,fairy,476,55,90,80,50,105,96,7,FALSE
779,Bruxish,water,psychic,475,68,105,70,70,70,92,7,FALSE
780,Drampa,normal,dragon,485,78,60,85,135,91,36,7,FALSE
781,Dhelmise,ghost,grass,517,70,131,100,86,90,40,7,FALSE
782,Jangmo-o,dragon,,300,45,55,65,45,45,45,7,FALSE
783,Hakamo-o,dragon,fighting,420,55,75,90,65,70,65,7,FALSE
784,Kommo-o,dragon,fighting,600,75,110,125,100,105,85,7,FALSE
785,Tapu Koko,electric,fairy,570,70,115,85,95,75,130,7,TRUE
786,Tapu Lele,psychic,fairy,570,70,85,75,130,115,95,7,TRUE
787,Tapu Bulu,grass,fairy,570,70,130,115,85,95,75,7,TRUE
788,Tapu Fini,water,fairy,570,70,75,115,95,130,85,7,TRUE
789,Cosmog,psychic,,200,43,29,31,29,31,37,7,TRUE
790,Cosmoem,psychic,,400,43,29,131,29,131,37,7,TRUE
791,Solgaleo,psychic,steel,680,137,137,107,113,89,97,7,TRUE
792,Lunala,psychic,ghost,680,137,113,89,137,107,97,7,TRUE
793,Nihilego,rock,poison,570,109,53,47,127,131,103,7,TRUE
794,Buzzwole,bug,fighting,570,107,139,139,53,53,79,7,TRUE
795,Pheromosa,bug,fighting,570,71,137,37,137,37,151,7,TRUE
796,Xurkitree,electric,,570,83,89,71,173,71,83,7,TRUE
797,Celesteela,steel,flying,570,97,101,103,107,101,61,7,TRUE
798,Kartana,grass,steel,570,59,181,131,59,31,109,7,TRUE
799,Guzzlord,dark,dragon,570,223,101,53,97,53,43,7,TRUE
800,Necrozma,psychic,,600,97,107,101,127,89,79,7,TRUE
801,Magearna,steel,fairy,600,80,95,115,130,115,65,7,TRUE
802,Marshadow,Fighting,Ghost,600,90,125,80,90,90,125,7,TRUE
803,Poipole,Poison,,420,67,73,67,73,67,73,7,TRUE
804,Naganadel,Poison,Dragon,540,73,73,73,127,73,121,7,TRUE
805,Stakataka,Rock,Steel,570,61,131,211,53,101,13,7,TRUE
806,Blacephalon,Fire,Ghost,570,53,127,53,151,79,107,7,TRUE
807,Zeraora,Electric,,600,88,112,75,102,80,143,7,TRUE
808,Meltan,Steel,,300,46,65,65,55,35,34,7,TRUE
809,Melmetal,Steel,,600,135,143,143,80,65,34,7,TRUE
810,Grookey,grass,,310,50,65,50,40,40,65,8,FALSE
811,Thwackey,grass,,420,70,85,70,55,60,80,8,FALSE
812,Rillaboom,grass,,530,100,125,90,60,70,85,8,FALSE
813,Scorbunny,fire,,310,50,71,40,40,40,69,8,FALSE
814,Raboot,fire,,420,65,86,60,55,60,94,8,FALSE
815,Cinderace,fire,,530,80,116,75,65,75,119,8,FALSE
816,Sobble,water,,310,50,40,40,70,40,70,8,FALSE
817,Drizzile,water,,420,65,60,55,95,55,90,8,FALSE
818,Inteleon,water,,530,70,85,65,125,65,120,8,FALSE
819,Skwovet,normal,,275,70,55,55,35,35,25,8,FALSE
820,Greedent,normal,,460,120,95,95,55,75,20,8,FALSE
821,Rookidee,flying,,245,38,47,35,33,35,57,8,FALSE
822,Corvisquire,flying,,365,68,67,55,43,55,77,8,FALSE
823,Corviknight,flying,steel,495,98,87,105,53,85,67,8,FALSE
824,Blipbug,bug,,180,25,20,20,25,45,45,8,FALSE
825,Dottler,bug,psychic,335,50,35,80,50,90,30,8,FALSE
826,Orbeetle,bug,psychic,505,60,45,110,80,120,90,8,FALSE
827,Nickit,dark,,245,40,28,28,47,52,50,8,FALSE
828,Thievul,dark,,455,70,58,58,87,92,90,8,FALSE
829,Gossifleur,grass,,250,40,40,60,40,60,10,8,FALSE
830,Eldegoss,grass,,460,60,50,90,80,120,60,8,FALSE
831,Wooloo,normal,,270,42,40,55,40,45,48,8,FALSE
832,Dubwool,normal,,490,72,80,100,60,90,88,8,FALSE
833,Chewtle,water,,284,50,64,50,38,38,44,8,FALSE
834,Drednaw,water,rock,485,90,115,90,48,68,74,8,FALSE
835,Yamper,electric,,270,59,45,50,40,50,26,8,FALSE
836,Boltund,electric,,490,69,90,60,90,60,121,8,FALSE
837,Rolycoly,rock,,240,30,40,50,40,50,30,8,FALSE
838,Carkol,rock,fire,410,80,60,90,60,70,50,8,FALSE
839,Coalossal,rock,fire,510,110,80,120,80,90,30,8,FALSE
840,Applin,grass,dragon,260,40,40,80,40,40,20,8,FALSE
841,Flapple,grass,dragon,485,70,110,80,95,60,70,8,FALSE
842,Appletun,grass,dragon,485,110,85,80,100,80,30,8,FALSE
843,Silicobra,ground,,315,52,57,75,35,50,46,8,FALSE
844,Sandaconda,ground,,510,72,107,125,65,70,71,8,FALSE
845,Cramorant,flying,water,475,70,85,55,85,95,85,8,FALSE
846,Arrokuda,water,,280,41,63,40,40,30,66,8,FALSE
847,Barraskewda,water,,490,61,123,60,60,50,136,8,FALSE
848,Toxel,electric,poison,242,40,38,35,54,35,40,8,FALSE
849,Toxtricity,electric,poison,502,75,98,70,114,70,75,8,FALSE
850,Sizzlipede,fire,bug,305,50,65,45,50,50,45,8,FALSE
851,Centiskorch,fire,bug,525,100,115,65,90,90,65,8,FALSE
852,Clobbopus,fighting,,310,50,68,60,50,50,32,8,FALSE
853,Grapploct,fighting,,480,80,118,90,70,80,42,8,FALSE
854,Sinistea,ghost,,308,40,45,45,74,54,50,8,FALSE
855,Polteageist,ghost,,508,60,65,65,134,114,70,8,FALSE
856,Hatenna,psychic,,265,42,30,45,56,53,39,8,FALSE
857,Hattrem,psychic,,370,57,40,65,86,73,49,8,FALSE
858,Hatterene,psychic,fairy,510,57,90,95,136,103,29,8,FALSE
859,Impidimp,dark,fairy,265,45,45,30,55,40,50,8,FALSE
860,Morgrem,dark,fairy,370,65,60,45,75,55,70,8,FALSE
861,Grimmsnarl,dark,fairy,510,95,120,65,95,75,60,8,FALSE
862,Obstagoon,dark,normal,520,93,90,101,60,81,95,8,FALSE
863,Perrserker,steel,,440,70,110,100,50,60,50,8,FALSE
864,Cursola,ghost,,510,60,95,50,145,130,30,8,FALSE
865,Sirfetch'd,fighting,,507,62,135,95,68,82,65,8,FALSE
866,Mr. Rime,ice,psychic,520,80,85,75,110,100,70,8,FALSE
867,Runerigus,ground,ghost,483,58,95,145,50,105,30,8,FALSE
868,Milcery,fairy,,270,45,40,40,50,61,34,8,FALSE
869,Alcremie,fairy,,495,65,60,75,110,121,64,8,FALSE
870,Falinks,fighting,,470,65,100,100,70,60,75,8,FALSE
871,Pincurchin,electric,,435,48,101,95,91,85,15,8,FALSE
872,Snom,ice,bug,185,30,25,35,45,30,20,8,FALSE
873,Frosmoth,ice,bug,475,70,65,60,125,90,65,8,FALSE
874,Stonjourner,rock,,470,100,125,135,20,20,70,8,FALSE
875,Eiscue,ice,,470,75,80,110,65,90,50,8,FALSE
876,Indeedee,psychic,normal,475,60,65,55,105,95,95,8,FALSE
877,Morpeko,electric,dark,436,58,95,58,70,58,97,8,FALSE
878,Cufant,steel,,330,72,80,49,40,49,40,8,FALSE
879,Copperajah,steel,,500,122,130,69,80,69,30,8,FALSE
880,Dracozolt,electric,dragon,505,90,100,90,80,70,75,8,FALSE
881,Arctozolt,electric,ice,505,90,100,90,90,80,55,8,FALSE
882,Dracovish,water,dragon,505,90,90,100,70,80,75,8,FALSE
883,Arctovish,water,ice,505,90,90,100,80,90,55,8,FALSE
884,Duraludon,steel,dragon,535,70,95,115,120,50,85,8,FALSE
885,Dreepy,dragon,ghost,270,28,60,30,40,30,82,8,FALSE
886,Drakloak,dragon,ghost,410,68,80,50,60,50,102,8,FALSE
887,Dragapult,dragon,ghost,600,88,120,75,100,75,142,8,FALSE
888,Zacian,fairy,,670,92,130,115,80,115,138,8,TRUE
889,Zamazenta,fighting,,670,92,130,115,80,115,138,8,TRUE